Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-17,6.179999828338623,6.480000019073486,6.090000152587891,6.360000133514404,18580700,0,0
2022-10-18,6.599999904632568,6.800000190734863,6.369999885559082,6.510000228881836,22041400,0,0
2022-10-19,6.409999847412109,6.5,6.050000190734863,6.110000133514404,13666100,0,0
2022-10-20,6.199999809265137,6.579999923706055,6.130000114440918,6.349999904632568,17309400,0,0
2022-10-21,6.349999904632568,6.570000171661377,6.21999979019165,6.489999771118164,14944400,0,0
2022-10-24,6.460000038146973,6.550000190734863,6.199999809265137,6.360000133514404,14363100,0,0
2022-10-25,6.300000190734863,7.0,6.269999980926514,6.75,26798200,0,0
2022-10-26,6.539999961853027,7.110000133514404,6.5,6.639999866485596,22177600,0,0
2022-10-27,6.829999923706055,6.929999828338623,6.489999771118164,6.510000228881836,13873300,0,0
2022-10-28,6.550000190734863,6.699999809265137,6.360000133514404,6.510000228881836,15668600,0,0
2022-10-31,6.820000171661377,7.25,6.539999961853027,6.659999847412109,34859100,0,0
2022-11-01,6.760000228881836,6.849999904632568,6.130000114440918,6.150000095367432,21354300,0,0
2022-11-02,6.260000228881836,6.329999923706055,5.789999961853027,5.809999942779541,22112800,0,0
2022-11-03,5.75,5.849999904632568,5.579999923706055,5.699999809265137,16543200,0,0
2022-11-04,5.829999923706055,5.849999904632568,5.420000076293945,5.650000095367432,17995000,0,0
2022-11-07,5.559999942779541,5.610000133514404,5.170000076293945,5.329999923706055,20037900,0,0
2022-11-08,5.380000114440918,5.619999885559082,5.300000190734863,5.619999885559082,27189800,0,0
2022-11-09,5.369999885559082,5.389999866485596,5.050000190734863,5.190000057220459,25711200,0,0
2022-11-10,5.5,6.269999980926514,5.349999904632568,6.130000114440918,40052500,0,0
2022-11-11,6.010000228881836,7.28000020980835,5.929999828338623,7.199999809265137,43612900,0,0
2022-11-14,8.020000457763672,8.350000381469727,7.289999961853027,7.340000152587891,53083900,0,0
2022-11-15,7.829999923706055,8.1899995803833,7.460000038146973,7.949999809265137,44349800,0,0
2022-11-16,7.739999771118164,7.800000190734863,7.159999847412109,7.53000020980835,29929700,0,0
2022-11-17,7.289999961853027,7.420000076293945,7.099999904632568,7.389999866485596,17120000,0,0
2022-11-18,7.53000020980835,7.840000152587891,7.340000152587891,7.590000152587891,21498600,0,0
2022-11-21,7.300000190734863,7.559999942779541,7.050000190734863,7.269999980926514,16892700,0,0
2022-11-22,7.210000038146973,7.510000228881836,7.070000171661377,7.320000171661377,14591900,0,0
2022-11-23,7.349999904632568,7.989999771118164,7.28000020980835,7.639999866485596,37509000,0,0
2022-11-25,7.659999847412109,7.739999771118164,7.5,7.510000228881836,8287600,0,0
2022-11-28,7.440000057220459,7.440000057220459,7.199999809265137,7.255000114440918,10429195,0,0
